"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2020","36","36017","Chenango County (NY)","45,920","5,283","4,092","6,474","4,092 to 6,474","11.5","8.9","14.1","8.9 to 14.1","9,308","1,463","940","1,986","940 to 1,986","15.7","10.1","21.3","10.1 to 21.3","6,880","952","570","1,334","570 to 1,334","13.8","8.3","19.3","8.3 to 19.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,545","$47,113","$57,977","$47,113 to $57,977"
"2020","36","36019","Clinton County (NY)","73,625","8,188","6,257","10,119","6,257 to 10,119","11.1","8.5","13.7","8.5 to 13.7","13,925","1,827","1,208","2,446","1,208 to 2,446","13.1","8.7","17.5","8.7 to 17.5","10,140","1,284","829","1,739","829 to 1,739","12.7","8.2","17.2","8.2 to 17.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,741","$54,963","$64,519","$54,963 to $64,519"
"2020","36","36021","Columbia County (NY)","58,186","5,961","4,800","7,122","4,800 to 7,122","10.2","8.2","12.2","8.2 to 12.2","9,383","1,499","1,131","1,867","1,131 to 1,867","16.0","12.1","19.9","12.1 to 19.9","7,002","1,026","743","1,309","743 to 1,309","14.7","10.7","18.7","10.7 to 18.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$66,068","$58,113","$74,023","$58,113 to $74,023"
"2020","36","36023","Cortland County (NY)","43,458","5,086","3,766","6,406","3,766 to 6,406","11.7","8.7","14.7","8.7 to 14.7","8,743","1,371","940","1,802","940 to 1,802","15.7","10.8","20.6","10.8 to 20.6","6,368","927","610","1,244","610 to 1,244","14.6","9.6","19.6","9.6 to 19.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,165","$53,536","$66,794","$53,536 to $66,794"
"2020","36","36025","Delaware County (NY)","41,910","5,345","4,210","6,480","4,210 to 6,480","12.8","10.1","15.5","10.1 to 15.5","6,951","1,301","952","1,650","952 to 1,650","18.7","13.7","23.7","13.7 to 23.7","5,101","915","625","1,205","625 to 1,205","17.9","12.2","23.6","12.2 to 23.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,440","$50,247","$58,633","$50,247 to $58,633"
"2020","36","36027","Dutchess County (NY)","275,932","22,960","19,203","26,717","19,203 to 26,717","8.3","6.9","9.7","6.9 to 9.7","52,693","4,522","3,185","5,859","3,185 to 5,859","8.6","6.1","11.1","6.1 to 11.1","39,341","3,503","2,497","4,509","2,497 to 4,509","8.9","6.3","11.5","6.3 to 11.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$79,276","$75,968","$82,584","$75,968 to $82,584"
"2020","36","36029","Erie County (NY)","892,668","117,938","106,513","129,363","106,513 to 129,363","13.2","11.9","14.5","11.9 to 14.5","181,466","32,311","27,150","37,472","27,150 to 37,472","17.8","15.0","20.6","15.0 to 20.6","132,625","21,483","17,481","25,485","17,481 to 25,485","16.2","13.2","19.2","13.2 to 19.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,584","$56,852","$62,316","$56,852 to $62,316"
"2020","36","36031","Essex County (NY)","35,061","3,565","2,692","4,438","2,692 to 4,438","10.2","7.7","12.7","7.7 to 12.7","5,609","836","572","1,100","572 to 1,100","14.9","10.2","19.6","10.2 to 19.6","4,044","599","397","801","397 to 801","14.8","9.8","19.8","9.8 to 19.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,129","$51,431","$62,827","$51,431 to $62,827"
"2020","36","36033","Franklin County (NY)","44,199","7,016","5,645","8,387","5,645 to 8,387","15.9","12.8","19.0","12.8 to 19.0","9,372","2,346","1,845","2,847","1,845 to 2,847","25.0","19.7","30.3","19.7 to 30.3","6,965","1,630","1,250","2,010","1,250 to 2,010","23.4","17.9","28.9","17.9 to 28.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,709","$54,812","$62,606","$54,812 to $62,606"
"2020","36","36035","Fulton County (NY)","51,690","7,184","5,732","8,636","5,732 to 8,636","13.9","11.1","16.7","11.1 to 16.7","10,254","2,072","1,454","2,690","1,454 to 2,690","20.2","14.2","26.2","14.2 to 26.2","7,588","1,433","980","1,886","980 to 1,886","18.9","12.9","24.9","12.9 to 24.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,405","$49,749","$61,061","$49,749 to $61,061"
"2020","36","36037","Genesee County (NY)","55,074","5,631","4,509","6,753","4,509 to 6,753","10.2","8.2","12.2","8.2 to 12.2","11,313","1,430","981","1,879","981 to 1,879","12.6","8.6","16.6","8.6 to 16.6","8,385","1,023","695","1,351","695 to 1,351","12.2","8.3","16.1","8.3 to 16.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$62,641","$57,954","$67,328","$57,954 to $67,328"
"2020","36","36039","Greene County (NY)","44,310","4,961","3,651","6,271","3,651 to 6,271","11.2","8.2","14.2","8.2 to 14.2","7,369","1,186","796","1,576","796 to 1,576","16.1","10.8","21.4","10.8 to 21.4","5,288","825","535","1,115","535 to 1,115","15.6","10.1","21.1","10.1 to 21.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,163","$52,216","$68,110","$52,216 to $68,110"
"2020","36","36041","Hamilton County (NY)","4,334","378","279","477","279 to 477","8.7","6.4","11.0","6.4 to 11.0","548","77","51","103","51 to 103","14.1","9.4","18.8","9.4 to 18.8","435","55","36","74","36 to 74","12.6","8.2","17.0","8.2 to 17.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,253","$48,021","$64,485","$48,021 to $64,485"
"2020","36","36043","Herkimer County (NY)","59,558","7,192","5,601","8,783","5,601 to 8,783","12.1","9.4","14.8","9.4 to 14.8","12,170","1,970","1,357","2,583","1,357 to 2,583","16.2","11.2","21.2","11.2 to 21.2","9,107","1,459","1,009","1,909","1,009 to 1,909","16.0","11.1","20.9","11.1 to 20.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,893","$54,701","$65,085","$54,701 to $65,085"
"2020","36","36045","Jefferson County (NY)","102,038","13,411","11,121","15,701","11,121 to 15,701","13.1","10.9","15.3","10.9 to 15.3","25,298","4,504","3,373","5,635","3,373 to 5,635","17.8","13.3","22.3","13.3 to 22.3","17,157","2,939","2,084","3,794","2,084 to 3,794","17.1","12.1","22.1","12.1 to 22.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,570","$52,575","$62,565","$52,575 to $62,565"
"2020","36","36047","Kings County (NY)","2,513,387","446,856","421,848","471,864","421,848 to 471,864","17.8","16.8","18.8","16.8 to 18.8","563,432","132,635","119,179","146,091","119,179 to 146,091","23.5","21.1","25.9","21.1 to 25.9","387,999","91,176","81,347","101,005","81,347 to 101,005","23.5","21.0","26.0","21.0 to 26.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$70,390","$68,786","$71,994","$68,786 to $71,994"
"2020","36","36049","Lewis County (NY)","25,874","2,942","2,301","3,583","2,301 to 3,583","11.4","8.9","13.9","8.9 to 13.9","5,802","971","671","1,271","671 to 1,271","16.7","11.5","21.9","11.5 to 21.9","4,171","674","453","895","453 to 895","16.2","10.9","21.5","10.9 to 21.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,897","$51,701","$64,093","$51,701 to $64,093"
"2020","36","36051","Livingston County (NY)","56,815","5,828","4,481","7,175","4,481 to 7,175","10.3","7.9","12.7","7.9 to 12.7","10,662","1,313","920","1,706","920 to 1,706","12.3","8.6","16.0","8.6 to 16.0","8,023","876","591","1,161","591 to 1,161","10.9","7.3","14.5","7.3 to 14.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,947","$54,553","$67,341","$54,553 to $67,341"
"2020","36","36053","Madison County (NY)","65,824","6,878","5,329","8,427","5,329 to 8,427","10.4","8.0","12.8","8.0 to 12.8","13,005","1,809","1,292","2,326","1,292 to 2,326","13.9","9.9","17.9","9.9 to 17.9","9,549","1,240","862","1,618","862 to 1,618","13.0","9.0","17.0","9.0 to 17.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$64,379","$59,267","$69,491","$59,267 to $69,491"
"2020","36","36055","Monroe County (NY)","717,797","100,122","91,423","108,821","91,423 to 108,821","13.9","12.7","15.1","12.7 to 15.1","149,182","30,442","26,835","34,049","26,835 to 34,049","20.4","18.0","22.8","18.0 to 22.8","109,908","22,509","19,873","25,145","19,873 to 25,145","20.5","18.1","22.9","18.1 to 22.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$61,358","$59,084","$63,632","$59,084 to $63,632"
"2020","36","36057","Montgomery County (NY)","48,278","5,735","4,422","7,048","4,422 to 7,048","11.9","9.2","14.6","9.2 to 14.6","11,004","2,224","1,499","2,949","1,499 to 2,949","20.2","13.6","26.8","13.6 to 26.8","7,910","1,562","1,041","2,083","1,041 to 2,083","19.7","13.1","26.3","13.1 to 26.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,482","$46,761","$58,203","$46,761 to $58,203"
"2020","36","36059","Nassau County (NY)","1,331,550","75,628","64,837","86,419","64,837 to 86,419","5.7","4.9","6.5","4.9 to 6.5","284,557","17,959","12,901","23,017","12,901 to 23,017","6.3","4.5","8.1","4.5 to 8.1","212,935","12,239","8,369","16,109","8,369 to 16,109","5.7","3.9","7.5","3.9 to 7.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$122,730","$119,245","$126,215","$119,245 to $126,215"
"2020","36","36061","New York County (NY)","1,560,418","255,059","239,934","270,184","239,934 to 270,184","16.3","15.3","17.3","15.3 to 17.3","225,241","43,511","37,908","49,114","37,908 to 49,114","19.3","16.8","21.8","16.8 to 21.8","152,592","33,174","28,785","37,563","28,785 to 37,563","21.7","18.8","24.6","18.8 to 24.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$87,745","$83,689","$91,801","$83,689 to $91,801"
"2020","36","36063","Niagara County (NY)","204,726","23,934","19,770","28,098","19,770 to 28,098","11.7","9.7","13.7","9.7 to 13.7","40,442","5,960","4,224","7,696","4,224 to 7,696","14.7","10.4","19.0","10.4 to 19.0","29,857","4,489","3,219","5,759","3,219 to 5,759","15.0","10.7","19.3","10.7 to 19.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,963","$50,905","$59,021","$50,905 to $59,021"
"2020","36","36065","Oneida County (NY)","215,131","26,660","21,864","31,456","21,864 to 31,456","12.4","10.2","14.6","10.2 to 14.6","47,232","8,353","6,100","10,606","6,100 to 10,606","17.7","12.9","22.5","12.9 to 22.5","34,726","6,362","4,668","8,056","4,668 to 8,056","18.3","13.4","23.2","13.4 to 23.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,696","$55,221","$62,171","$55,221 to $62,171"
"2020","36","36067","Onondaga County (NY)","443,398","56,835","51,496","62,174","51,496 to 62,174","12.8","11.6","14.0","11.6 to 14.0","95,146","18,680","16,411","20,949","16,411 to 20,949","19.6","17.2","22.0","17.2 to 22.0","69,373","13,060","11,185","14,935","11,185 to 14,935","18.8","16.1","21.5","16.1 to 21.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$63,963","$60,908","$67,018","$60,908 to $67,018"
"2020","36","36069","Ontario County (NY)","107,112","9,389","7,611","11,167","7,611 to 11,167","8.8","7.1","10.5","7.1 to 10.5","21,144","2,329","1,698","2,960","1,698 to 2,960","11.0","8.0","14.0","8.0 to 14.0","15,875","1,603","1,110","2,096","1,110 to 2,096","10.1","7.0","13.2","7.0 to 13.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$62,777","$55,015","$70,539","$55,015 to $70,539"
"2020","36","36071","Orange County (NY)","374,968","39,859","32,921","46,797","32,921 to 46,797","10.6","8.7","12.5","8.7 to 12.5","96,813","15,191","11,477","18,905","11,477 to 18,905","15.7","11.9","19.5","11.9 to 19.5","71,264","10,847","8,072","13,622","8,072 to 13,622","15.2","11.3","19.1","11.3 to 19.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$78,724","$73,708","$83,740","$73,708 to $83,740"
"2020","36","36073","Orleans County (NY)","37,654","4,978","3,939","6,017","3,939 to 6,017","13.2","10.4","16.0","10.4 to 16.0","7,334","1,477","1,089","1,865","1,089 to 1,865","20.1","14.8","25.4","14.8 to 25.4","5,406","1,039","752","1,326","752 to 1,326","19.2","13.9","24.5","13.9 to 24.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,318","$49,941","$64,695","$49,941 to $64,695"
"2020","36","36075","Oswego County (NY)","111,922","15,935","12,998","18,872","12,998 to 18,872","14.2","11.6","16.8","11.6 to 16.8","23,712","4,541","3,369","5,713","3,369 to 5,713","19.2","14.3","24.1","14.3 to 24.1","17,365","3,325","2,486","4,164","2,486 to 4,164","19.1","14.3","23.9","14.3 to 23.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,439","$54,770","$62,108","$54,770 to $62,108"
"2020","36","36077","Otsego County (NY)","53,913","6,914","5,458","8,370","5,458 to 8,370","12.8","10.1","15.5","10.1 to 15.5","8,923","1,495","1,058","1,932","1,058 to 1,932","16.8","11.9","21.7","11.9 to 21.7","6,415","1,049","707","1,391","707 to 1,391","16.4","11.1","21.7","11.1 to 21.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,417","$53,741","$63,093","$53,741 to $63,093"
"2020","36","36079","Putnam County (NY)","96,811","5,516","4,252","6,780","4,252 to 6,780","5.7","4.4","7.0","4.4 to 7.0","18,733","1,043","726","1,360","726 to 1,360","5.6","3.9","7.3","3.9 to 7.3","14,361","801","564","1,038","564 to 1,038","5.6","3.9","7.3","3.9 to 7.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$104,285","$92,343","$116,227","$92,343 to $116,227"
"2020","36","36081","Queens County (NY)","2,200,375","226,286","201,293","251,279","201,293 to 251,279","10.3","9.2","11.4","9.2 to 11.4","435,555","56,608","45,232","67,984","45,232 to 67,984","13.0","10.4","15.6","10.4 to 15.6","305,306","38,920","30,362","47,478","30,362 to 47,478","12.7","9.9","15.5","9.9 to 15.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$78,847","$77,191","$80,503","$77,191 to $80,503"
"2020","36","36083","Rensselaer County (NY)","152,606","15,925","13,263","18,587","13,263 to 18,587","10.4","8.7","12.1","8.7 to 12.1","29,854","4,272","3,184","5,360","3,184 to 5,360","14.3","10.7","17.9","10.7 to 17.9","21,866","2,795","1,972","3,618","1,972 to 3,618","12.8","9.0","16.6","9.0 to 16.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$71,457","$66,328","$76,586","$66,328 to $76,586"
"2020","36","36085","Richmond County (NY)","469,731","49,625","41,735","57,515","41,735 to 57,515","10.6","8.9","12.3","8.9 to 12.3","101,529","15,220","11,718","18,722","11,718 to 18,722","15.0","11.6","18.4","11.6 to 18.4","75,225","11,044","8,282","13,806","8,282 to 13,806","14.7","11.0","18.4","11.0 to 18.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$81,003","$76,146","$85,860","$76,146 to $85,860"
"2020","36","36087","Rockland County (NY)","321,533","46,407","40,184","52,630","40,184 to 52,630","14.4","12.5","16.3","12.5 to 16.3","92,364","23,123","19,244","27,002","19,244 to 27,002","25.0","20.8","29.2","20.8 to 29.2","65,451","15,711","12,750","18,672","12,750 to 18,672","24.0","19.5","28.5","19.5 to 28.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$94,874","$89,939","$99,809","$89,939 to $99,809"
"2020","36","36089","St. Lawrence County (NY)","96,712","14,263","11,675","16,851","11,675 to 16,851","14.7","12.0","17.4","12.0 to 17.4","20,884","3,839","2,812","4,866","2,812 to 4,866","18.4","13.5","23.3","13.5 to 23.3","15,458","2,549","1,800","3,298","1,800 to 3,298","16.5","11.7","21.3","11.7 to 21.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,526","$49,144","$53,908","$49,144 to $53,908"
"2020","36","36091","Saratoga County (NY)","226,867","14,249","11,390","17,108","11,390 to 17,108","6.3","5.0","7.6","5.0 to 7.6","43,965","2,788","1,869","3,707","1,869 to 3,707","6.3","4.2","8.4","4.2 to 8.4","33,048","1,954","1,257","2,651","1,257 to 2,651","5.9","3.8","8.0","3.8 to 8.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$83,427","$79,507","$87,347","$79,507 to $87,347"
"2020","36","36093","Schenectady County (NY)","151,602","16,562","13,497","19,627","13,497 to 19,627","10.9","8.9","12.9","8.9 to 12.9","32,824","5,067","3,614","6,520","3,614 to 6,520","15.4","11.0","19.8","11.0 to 19.8","23,658","3,411","2,317","4,505","2,317 to 4,505","14.4","9.8","19.0","9.8 to 19.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$66,292","$62,298","$70,286","$62,298 to $70,286"
"2020","36","36095","Schoharie County (NY)","29,930","3,281","2,502","4,060","2,502 to 4,060","11.0","8.4","13.6","8.4 to 13.6","5,331","825","558","1,092","558 to 1,092","15.5","10.5","20.5","10.5 to 20.5","3,933","577","381","773","381 to 773","14.7","9.7","19.7","9.7 to 19.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,744","$54,170","$65,318","$54,170 to $65,318"
"2020","36","36097","Schuyler County (NY)","17,451","2,055","1,613","2,497","1,613 to 2,497","11.8","9.3","14.3","9.3 to 14.3","3,219","541","384","698","384 to 698","16.8","11.9","21.7","11.9 to 21.7","2,362","369","247","491","247 to 491","15.6","10.5","20.7","10.5 to 20.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,269","$47,045","$61,493","$47,045 to $61,493"
"2020","36","36099","Seneca County (NY)","31,421","3,802","2,886","4,718","2,886 to 4,718","12.1","9.2","15.0","9.2 to 15.0","6,595","1,262","852","1,672","852 to 1,672","19.1","12.9","25.3","12.9 to 25.3","4,781","882","580","1,184","580 to 1,184","18.4","12.1","24.7","12.1 to 24.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,929","$49,952","$63,906","$49,952 to $63,906"
"2020","36","36101","Steuben County (NY)","93,215","11,291","8,931","13,651","8,931 to 13,651","12.1","9.6","14.6","9.6 to 14.6","19,751","3,643","2,628","4,658","2,628 to 4,658","18.4","13.3","23.5","13.3 to 23.5","14,491","2,592","1,878","3,306","1,878 to 3,306","17.9","13.0","22.8","13.0 to 22.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,794","$50,178","$59,410","$50,178 to $59,410"
"2020","36","36103","Suffolk County (NY)","1,446,504","87,692","75,012","100,372","75,012 to 100,372","6.1","5.2","7.0","5.2 to 7.0","298,797","18,632","13,734","23,530","13,734 to 23,530","6.2","4.6","7.8","4.6 to 7.8","221,761","13,418","9,492","17,344","9,492 to 17,344","6.1","4.3","7.9","4.3 to 7.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$109,084","$106,539","$111,629","$106,539 to $111,629"
"2020","36","36105","Sullivan County (NY)","73,550","9,364","7,044","11,684","7,044 to 11,684","12.7","9.5","15.9","9.5 to 15.9","15,699","3,344","2,200","4,488","2,200 to 4,488","21.3","14.0","28.6","14.0 to 28.6","11,101","2,449","1,599","3,299","1,599 to 3,299","22.1","14.4","29.8","14.4 to 29.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$63,915","$60,860","$66,970","$60,860 to $66,970"
"2020","36","36107","Tioga County (NY)","47,435","4,420","3,397","5,443","3,397 to 5,443","9.3","7.1","11.5","7.1 to 11.5","9,604","1,160","770","1,550","770 to 1,550","12.1","8.0","16.2","8.0 to 16.2","7,352","838","537","1,139","537 to 1,139","11.4","7.3","15.5","7.3 to 15.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$62,400","$58,493","$66,307","$58,493 to $66,307"
"2020","36","36109","Tompkins County (NY)","88,404","10,927","8,739","13,115","8,739 to 13,115","12.4","9.9","14.9","9.9 to 14.9","14,191","1,753","1,182","2,324","1,182 to 2,324","12.4","8.4","16.4","8.4 to 16.4","10,470","1,206","803","1,609","803 to 1,609","11.5","7.6","15.4","7.6 to 15.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$65,308","$58,685","$71,931","$58,685 to $71,931"
